F,E
ulos,out
hienosta,fine
kuningas,king
väkeä,people
pistin,I put
kädet,hands
vaaran,hill's
nimi,name
vapaat,free
kohtaamisesta,meeting
mene,go
mikä,what
kaupunki,city
riitä,enough
todiste,evidence
minä,I
liasta,from dirt
venäjää,Russian
halusi,wanted
tulossa,coming
knut,Knut
ääniä,sounds
miesten,men's
uuden,new
myönsi,granted
törmätessään,when colliding
ja,and
sinä,you
lika,dirt
myös,also
siitä,of it
kerran,once
joka,who
kulta,gold
rakennetaan,will be built
niin,so
valot,lights
piilossa,hidden
kaksi,two
justiinsa,just
ei,not
käske,tell
kellariin,to the cellar
kirves,axe
asioiden,of things
muovattu,shaped
saatanan,devil's
sillä,with it
olipa,once upon a time
asiaa,things
kuullut,heard
jonka,which
materiaalista,material
tulette,you come
teettää,make
tätä,this
toisiinsa,with each other
kultaa,gold
tytön,girl's
rauhanaikaperkeleen,peacetime devil's
näin,I saw
kysyi,asked
ehdotti,suggested
helvetti,hell
päästän,let
arkkitehti,architect
kuninkaan,king's
alulle,to start
rakentamisen,building
pääkaupungin,capital city
pisti,put
mitä,what
mistä,from what
noin,about
että,that
maailman,world's
aineesta,material
vastasi,answered
rakentamiseen,for building
jälki,trace
kaupungista,from the city
hevosten,horses'
laella,on top
ihmeissään,amazed
oli,was
huolehdin,take care
kaatamosta,from the felling site
tapan,I'll kill
ollut,been
heti,immediately
kaikki,all
sen,it
ryssien,Russians'
hän,he/she
arkkitehdille,to the architect
ainutlaatuisesta,unique
jättävät,leave
piika,maid
olisit,would have been
uudestaan,again
seuraava,next
muistomme,our memory
lähteä,to leave
rakentaa,build
rantaan,to the shore
